,Kanton,NoOFS,Gemeinde,Region
0,BE,301,Aarberg,2
1,BE,321,Aarwangen,3
2,BE,561,Adelboden,3
3,BE,401,Aefligen,2
4,BE,731,Aegerten,2
5,BE,562,Aeschi bei Spiez,3
6,BE,951,Affoltern im Emmental,3
7,BE,402,Alchenstorf,2
8,BE,630,Allmendingen,2
9,BE,921,Amsoldingen,2
10,BE,381,Arch,2
11,BE,602,Arni (BE),2
12,BE,971,Attiswil,3
13,BE,322,Auswil,3
14,BE,323,Bannwil,3
15,BE,302,Bargen (BE),2
16,BE,403,Bäriswil,2
17,BE,533,Bätterkinden,2
18,BE,571,Beatenberg,3
19,BE,732,Bellmund,2
20,BE,861,Belp,2
21,BE,681,Belprahon,2
22,BE,972,Berken,3
23,BE,351,Bern,1
24,BE,973,Bettenhausen,3
25,BE,371,Biel/Bienne,1
26,BE,603,Biglen,2
27,BE,324,Bleienbach,3
28,BE,922,Blumenstein,2
29,BE,352,Bolligen,1
30,BE,791,Boltigen,3
31,BE,572,Bönigen,3
32,BE,605,Bowil,2
33,BE,353,Bremgarten bei Bern,1
34,BE,606,Brenzikofen,2
35,BE,573,Brienz (BE),3
36,BE,574,Brienzwiler,3
37,BE,733,Brügg,2
38,BE,491,Brüttelen,2
39,BE,923,Buchholterberg,2
40,BE,382,Büetigen,2
41,BE,734,Bühl,2
42,BE,383,Büren an der Aare,2
43,BE,404,Burgdorf,2
44,BE,863,Burgistein,2
45,BE,325,Busswil bei Melchnau,3
46,BE,683,Champoz,2
47,BE,687,Corcelles (BE),2
48,BE,431,Corgémont,2
49,BE,432,Cormoret,2
50,BE,433,Cortébert,2
51,BE,690,Court,2
52,BE,434,Courtelary,2
53,BE,691,Crémines,2
54,BE,575,Därligen,3
55,BE,761,Därstetten,3
56,BE,535,Deisswil bei Münchenbuchsee,2
57,BE,762,Diemtigen,3
58,BE,385,Diessbach bei Büren,2
59,BE,386,Dotzigen,2
60,BE,952,Dürrenroth,3
61,BE,901,Eggiwil,3
62,BE,735,Epsach,2
63,BE,953,Eriswil,3
64,BE,924,Eriz,2
65,BE,492,Erlach,2
66,BE,763,Erlenbach im Simmental,3
67,BE,405,Ersigen,2
68,BE,692,Eschert,2
69,BE,372,Évilard,1
70,BE,925,Fahrni,2
71,BE,975,Farnern,3
72,BE,662,Ferenbalm,2
73,BE,493,Finsterhennen,2
74,BE,948,Forst-Längenbühl,2
75,BE,538,Fraubrunnen,2
76,BE,663,Frauenkappelen,2
77,BE,607,Freimettigen,2
78,BE,563,Frutigen,3
79,BE,494,Gals,2
80,BE,495,Gampelen,2
81,BE,866,Gerzensee,2
82,BE,326,Gondiswil,3
83,BE,976,Graben,3
84,BE,694,Grandval,2
85,BE,576,Grindelwald,3
86,BE,303,Grossaffoltern,2
87,BE,608,Grosshöchstetten,2
88,BE,841,Gsteig,3
89,BE,577,Gsteigwiler,3
90,BE,852,Guggisberg,2
91,BE,578,Gündlischwand,3
92,BE,665,Gurbrü,2
93,BE,867,Gurzelen,2
94,BE,782,Guttannen,3
95,BE,579,Habkern,3
96,BE,736,Hagneck,2
97,BE,406,Hasle bei Burgdorf,2
98,BE,783,Hasliberg,3
99,BE,609,Häutligen,2
100,BE,927,Heiligenschwendi,2
101,BE,928,Heimberg,2
102,BE,977,Heimenhausen,3
103,BE,407,Heimiswil,2
104,BE,408,Hellsau,2
105,BE,610,Herbligen,2
106,BE,737,Hermrigen,2
107,BE,979,Herzogenbuchsee,3
108,BE,929,Hilterfingen,2
109,BE,409,Hindelbank,2
110,BE,410,Höchstetten,2
111,BE,580,Hofstetten bei Brienz,3
112,BE,931,Homberg,2
